"Internal_reference","Survey","Polygon","Commonname","Validname","Family","Class","Order","RES","Type","Partial_cell_area","Density","Uncertainty","Uncertainty_measure","CI_95_low","CI_95_high","Location","Study_area"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",709.669303595856,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.95,"Suitable habitat",1071.07919253677,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2255.53496404736,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",697.297239437042,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1894.23141583962,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2255.53496404736,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.92,"Suitable habitat",684.925713121063,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.93,"Suitable habitat",508.704355391785,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2237.19462371497,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2255.53496404736,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.89,"Suitable habitat",672.554724676056,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1333.33018419358,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2237.19462371497,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.91,"Suitable habitat",2255.53496404736,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.93,"Suitable habitat",660.184274131195,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1872.69653950981,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2237.19462371497,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.85,"Suitable habitat",2255.53496404736,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.91,"Suitable habitat",2103.01886736646,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1258.34771100863,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",646.701176556519,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2218.84354490653,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.94,"Suitable habitat",2255.53496404736,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.96,"Suitable habitat",2273.69953831345,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1397.5436321027,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1732.86638701169,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2255.53496404736,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2273.69953831345,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1463.83657526895,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1315.24472500011,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1770.98446355064,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1683.40952452551,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1073.50409379945,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.97,"Suitable habitat",682.775568934031,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",567.627395392567,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1564.03023471759,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1635.46427935987,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1576.4022988764,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1205.74726340929,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.92,"Suitable habitat",1588.77382519238,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1395.80868655185,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.89,"Suitable habitat",1601.14481363739,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1375.8843714156,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.93,"Suitable habitat",1613.51526418225,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1161.01182748068,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",997.320149138733,0.00775383610839047,0.99,"CV abundance",NA,NA,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2013","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1621.63375084818,0.00385158556939273,0.35,"Squared CV",0.000821671588137117,0.0181281294132751,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2013","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",848.307564249198,0.00385158556939273,0.35,"Squared CV",0.000821671588137117,0.0181281294132751,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2013","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1663.12715565281,0.00385158556939273,0.35,"Squared CV",0.000821671588137117,0.0181281294132751,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2013","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2162.7065644946,0.00385158556939273,0.35,"Squared CV",0.000821671588137117,0.0181281294132751,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2013","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1332.04872535921,0.00385158556939273,0.35,"Squared CV",0.000821671588137117,0.0181281294132751,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2013","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2070.88834614734,0.00385158556939273,0.35,"Squared CV",0.000821671588137117,0.0181281294132751,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2013","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",325.240341324518,0.00385158556939273,0.35,"Squared CV",0.000821671588137117,0.0181281294132751,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2014","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1621.63375084818,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2014","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",848.307564249198,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2014","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1663.12715565281,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2014","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2162.7065644946,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2014","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1332.04872535921,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2014","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2070.88834614734,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2014","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",325.240341324518,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2015","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1621.63375084818,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2015","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",848.307564249198,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2015","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1663.12715565281,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2015","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2162.7065644946,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2015","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1332.04872535921,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
"054_O'Brien et al (2022)_New England Aquarium","SNE Winter 2015","SNE C","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2070.88834614734,0.00141224804211067,0.35,"Squared CV",0.000154063422775709,0.0158171780716395,"Northwest Atlantic","N"
